threshold,precision,recall,f1,accuracy
0.0,0.16,1.0,0.28,0.16
0.05,0.17,0.98,0.29,0.23
0.1,0.22,0.89,0.35,0.46
0.15,0.28,0.7,0.4,0.67
0.2,0.31,0.47,0.38,0.75
0.25,0.47,0.32,0.38,0.83
0.3,0.58,0.23,0.33,0.85
0.35,0.6,0.06,0.12,0.84
0.4,0.0,0.0,0.0,0.84
0.45,0.0,0.0,0.0,0.84
0.5,0.0,0.0,0.0,0.84
0.55,0.0,0.0,0.0,0.84
0.6,0.0,0.0,0.0,0.84
0.65,0.0,0.0,0.0,0.84
0.7,0.0,0.0,0.0,0.84
0.75,0.0,0.0,0.0,0.84
0.8,0.0,0.0,0.0,0.84
0.85,0.0,0.0,0.0,0.84
0.9,0.0,0.0,0.0,0.84
0.95,0.0,0.0,0.0,0.84
1.0,0.0,0.0,0.0,0.84
