threshold,precision,recall,f1,accuracy
0.0,0.16,1.0,0.28,0.16
0.05,0.19,0.96,0.31,0.32
0.1,0.23,0.85,0.36,0.52
0.15,0.29,0.81,0.43,0.66
0.2,0.35,0.68,0.46,0.74
0.25,0.42,0.57,0.48,0.8
0.3,0.47,0.49,0.48,0.83
0.35,0.59,0.4,0.48,0.86
0.4,0.7,0.3,0.42,0.87
0.45,0.88,0.15,0.25,0.86
0.5,1.0,0.11,0.19,0.86
0.55,1.0,0.04,0.08,0.85
0.6,1.0,0.02,0.04,0.84
0.65,1.0,0.02,0.04,0.84
0.7,1.0,0.02,0.04,0.84
0.75,0.0,0.0,0.0,0.84
0.8,0.0,0.0,0.0,0.84
0.85,0.0,0.0,0.0,0.84
0.9,0.0,0.0,0.0,0.84
0.95,0.0,0.0,0.0,0.84
1.0,0.0,0.0,0.0,0.84
